n_variables	n_samples	real_entropy	gcmi_entropy	npeet_entropy
3	10	1.3862943611198906	2.183851676595425	5.717373863993056
3	15	1.3862943611198906	2.095160481941802	5.606421859783484
3	100	1.3862943611198906	1.7710572756794871	6.027363466537604
3	150	1.3862943611198906	1.7033918991426367	6.056164013020792
3	1000	1.3862943611198906	1.57278983985569	6.120651326867524
3	1500	1.3862943611198906	1.5218177619747113	6.125249575297054
3	10000	1.3862943611198906	1.4675550660129897	6.138134044797582
3	15000	1.3862943611198906	1.4433316561251281	6.139166314854899
3	100000	1.3862943611198906	1.4196773932418587	6.140883997755993
3	150000	1.3862943611198906	1.4180254728787922	6.140994566739836
3	1000000	1.3862943611198906	1.4030477853992114	6.141235820669721
3	1500000	1.3862943611198906	1.3999800562749005	6.141253389220456
3	10	5.19295685089021	5.694734372435156	5.715761463276011
3	15	5.19295685089021	5.98369497398402	5.392281619035146
3	100	5.19295685089021	5.633928895562085	5.994805746562316
3	150	5.19295685089021	5.334307824715529	6.049486854793127
3	1000	5.19295685089021	5.331324514810637	6.119940962499295
3	1500	5.19295685089021	5.33949323769449	6.124837482273373
3	10000	5.19295685089021	5.273735513378731	6.138338270120877
3	15000	5.19295685089021	5.252977269935139	6.138982417079903
3	100000	5.19295685089021	5.224313680160187	6.140898120135291
3	150000	5.19295685089021	5.220190446993803	6.141016557446777
3	1000000	5.19295685089021	5.206864566710101	6.14123849436423
3	1500000	5.19295685089021	5.205701514445895	6.141252585898416
3	10	3.5553480614894135	5.425278313771568	4.994917735313152
3	15	3.5553480614894135	5.060982845034896	5.251470615530814
3	100	3.5553480614894135	4.121199083386035	6.013963105367495
3	150	3.5553480614894135	4.004100670269107	6.056823287497538
3	1000	3.5553480614894135	3.7601677309094645	6.120501470885477
3	1500	3.5553480614894135	3.6606620191737926	6.126964133385142
3	10000	3.5553480614894135	3.655461440199982	6.138134736192335
3	15000	3.5553480614894135	3.6317666356270415	6.138782394015914
3	100000	3.5553480614894135	3.5977094175401643	6.140847468039002
3	150000	3.5553480614894135	3.594925324920947	6.141009346465933
3	1000000	3.5553480614894135	3.574046105664106	6.1412328243999825
3	1500000	3.5553480614894135	3.5722363270977393	6.141251896934864
3	10	4.90527477843843	5.848093975497299	5.568393717901426
3	15	4.90527477843843	5.203073874634294	5.746029658829748
3	100	4.90527477843843	5.096079593262176	6.008623572555236
3	150	4.90527477843843	5.102350848625028	6.01318565637504
